Startpoint,Endpoint,Slack
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18996_ (falling edge-triggered flip-flop clocked by clk'),-45.83
 instr[4] (input port clocked by clk), riscv/dp/_18942_ (falling edge-triggered flip-flop clocked by clk'),48.68
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19028_ (falling edge-triggered flip-flop clocked by clk'),-45.68
 instr[4] (input port clocked by clk), riscv/dp/_18927_ (falling edge-triggered flip-flop clocked by clk'),56.93
 instr[4] (input port clocked by clk), riscv/dp/_19183_ (falling edge-triggered flip-flop clocked by clk'),57.13
 instr[4] (input port clocked by clk), riscv/dp/_18959_ (falling edge-triggered flip-flop clocked by clk'),57.08
 instr[4] (input port clocked by clk), riscv/dp/_19198_ (falling edge-triggered flip-flop clocked by clk'),49.10
 instr[4] (input port clocked by clk), riscv/dp/_19870_ (falling edge-triggered flip-flop clocked by clk'),49.15
 instr[4] (input port clocked by clk), riscv/dp/_19005_ (falling edge-triggered flip-flop clocked by clk'),54.99
 instr[4] (input port clocked by clk), riscv/dp/_19485_ (falling edge-triggered flip-flop clocked by clk'),55.17
 instr[4] (input port clocked by clk), riscv/dp/_19535_ (falling edge-triggered flip-flop clocked by clk'),56.72
 instr[4] (input port clocked by clk), riscv/dp/_18895_ (falling edge-triggered flip-flop clocked by clk'),57.32
 instr[4] (input port clocked by clk), riscv/dp/_19663_ (falling edge-triggered flip-flop clocked by clk'),57.71
 instr[4] (input port clocked by clk), riscv/dp/_19389_ (falling edge-triggered flip-flop clocked by clk'),54.71
 instr[4] (input port clocked by clk), riscv/dp/_19101_ (falling edge-triggered flip-flop clocked by clk'),54.79
 instr[4] (input port clocked by clk), riscv/dp/_19247_ (falling edge-triggered flip-flop clocked by clk'),48.77
 instr[4] (input port clocked by clk), riscv/dp/_19407_ (falling edge-triggered flip-flop clocked by clk'),48.78
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19476_ (falling edge-triggered flip-flop clocked by clk'),-45.77
 instr[4] (input port clocked by clk), riscv/dp/_19229_ (falling edge-triggered flip-flop clocked by clk'),54.79
 instr[4] (input port clocked by clk), riscv/dp/_19695_ (falling edge-triggered flip-flop clocked by clk'),57.39
 instr[4] (input port clocked by clk), riscv/dp/_19517_ (falling edge-triggered flip-flop clocked by clk'),54.88
 instr[4] (input port clocked by clk), riscv/dp/_19645_ (falling edge-triggered flip-flop clocked by clk'),54.95
 instr[4] (input port clocked by clk), riscv/dp/_19279_ (falling edge-triggered flip-flop clocked by clk'),49.16
 instr[4] (input port clocked by clk), riscv/dp/_19119_ (falling edge-triggered flip-flop clocked by clk'),57.10
 instr[4] (input port clocked by clk), riscv/dp/_19151_ (falling edge-triggered flip-flop clocked by clk'),57.19
 instr[4] (input port clocked by clk), riscv/dp/_19070_ (falling edge-triggered flip-flop clocked by clk'),49.67
 instr[4] (input port clocked by clk), riscv/dp/_19453_ (falling edge-triggered flip-flop clocked by clk'),55.19
 instr[4] (input port clocked by clk), riscv/dp/_19614_ (falling edge-triggered flip-flop clocked by clk'),182.98
 instr[4] (input port clocked by clk), riscv/dp/_19006_ (falling edge-triggered flip-flop clocked by clk'),50.31
 instr[4] (input port clocked by clk), riscv/dp/_19230_ (falling edge-triggered flip-flop clocked by clk'),50.07
 instr[4] (input port clocked by clk), riscv/dp/_19134_ (falling edge-triggered flip-flop clocked by clk'),183.96
 instr[4] (input port clocked by clk), riscv/dp/_19166_ (falling edge-triggered flip-flop clocked by clk'),48.18
 instr[4] (input port clocked by clk), riscv/dp/_19646_ (falling edge-triggered flip-flop clocked by clk'),49.89
 instr[4] (input port clocked by clk), riscv/dp/_19262_ (falling edge-triggered flip-flop clocked by clk'),183.27
 instr[4] (input port clocked by clk), riscv/dp/_19294_ (falling edge-triggered flip-flop clocked by clk'),48.00
 instr[4] (input port clocked by clk), riscv/dp/_19358_ (falling edge-triggered flip-flop clocked by clk'),183.42
 instr[4] (input port clocked by clk), riscv/dp/_19582_ (falling edge-triggered flip-flop clocked by clk'),183.51
 instr[4] (input port clocked by clk), riscv/dp/_19550_ (falling edge-triggered flip-flop clocked by clk'),183.57
 instr[4] (input port clocked by clk), riscv/dp/_19567_ (falling edge-triggered flip-flop clocked by clk'),57.64
 instr[4] (input port clocked by clk), riscv/dp/_19102_ (falling edge-triggered flip-flop clocked by clk'),49.75
 instr[4] (input port clocked by clk), riscv/dp/_19422_ (falling edge-triggered flip-flop clocked by clk'),48.34
 instr[4] (input port clocked by clk), riscv/dp/_19343_ (falling edge-triggered flip-flop clocked by clk'),58.29
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19380_ (falling edge-triggered flip-flop clocked by clk'),-45.10
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19508_ (falling edge-triggered flip-flop clocked by clk'),-45.48
 instr[4] (input port clocked by clk), riscv/dp/_19599_ (falling edge-triggered flip-flop clocked by clk'),58.41
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19444_ (falling edge-triggered flip-flop clocked by clk'),-43.54
